"","new_cause","year","Total"
"1","accident",2000,64
"2","accident",2001,85
"3","accident",2002,93
"4","accident",2003,59
"5","accident",2004,84
"6","accident",2005,65
"7","accident",2006,101
"8","accident",2007,47
"9","accident",2008,75
"10","accident",2009,111
"11","accident",2010,43
"12","accident",2011,20
"13","accident",2012,65
"14","accident",2013,91
"15","accident",2014,174
"16","accident",2015,353
"17","accident",2016,402
"18","accident",2017,571
"19","accident",2018,888
"20","accident",2019,526
"21","arson",2000,77
"22","arson",2001,88
"23","arson",2002,107
"24","arson",2003,157
"25","arson",2004,78
"26","arson",2005,85
"27","arson",2006,105
"28","arson",2007,92
"29","arson",2008,83
"30","arson",2009,54
"31","arson",2010,24
"32","arson",2011,22
"33","arson",2012,51
"34","arson",2013,56
"35","arson",2014,68
"36","arson",2015,65
"37","arson",2016,44
"38","arson",2017,33
"39","arson",2018,64
"40","arson",2019,20
"41","burningoff",2000,36
"42","burningoff",2001,36
"43","burningoff",2002,47
"44","burningoff",2003,32
"45","burningoff",2004,61
"46","burningoff",2005,29
"47","burningoff",2006,57
"48","burningoff",2007,39
"49","burningoff",2008,29
"50","burningoff",2009,43
"51","burningoff",2010,12
"52","burningoff",2011,10
"53","burningoff",2012,23
"54","burningoff",2013,33
"55","burningoff",2014,34
"56","burningoff",2015,40
"57","burningoff",2016,28
"58","burningoff",2017,50
"59","burningoff",2018,58
"60","burningoff",2019,9
"61","lightning",2000,51
"62","lightning",2001,154
"63","lightning",2002,162
"64","lightning",2003,164
"65","lightning",2004,82
"66","lightning",2005,209
"67","lightning",2006,316
"68","lightning",2007,365
"69","lightning",2008,156
"70","lightning",2009,264
"71","lightning",2010,116
"72","lightning",2011,19
"73","lightning",2012,97
"74","lightning",2013,220
"75","lightning",2014,344
"76","lightning",2015,240
"77","lightning",2016,136
"78","lightning",2017,122
"79","lightning",2018,212
"80","lightning",2019,369
"81","other",2000,34
"82","other",2001,65
"83","other",2002,67
"84","other",2003,52
"85","other",2004,45
"86","other",2005,70
"87","other",2006,105
"88","other",2007,76
"89","other",2008,71
"90","other",2009,146
"91","other",2010,79
"92","other",2011,49
"93","other",2012,76
"94","other",2013,93
"95","other",2014,86
"96","other",2015,117
"97","other",2016,60
"98","other",2017,67
"99","other",2018,102
"100","other",2019,74
"101","relight",2000,7
"102","relight",2001,4
"103","relight",2002,9
"104","relight",2003,7
"105","relight",2004,3
"106","relight",2005,1
"107","relight",2006,10
"108","relight",2007,6
"109","relight",2008,3
"110","relight",2009,7
"111","relight",2010,2
"112","relight",2011,1
"113","relight",2012,1
"114","relight",2013,5
"115","relight",2014,4
"116","relight",2015,2
"117","relight",2016,1
"118","relight",2017,5
"119","relight",2018,4
"120","relight",2019,2
