"","year","accident","arson","burningoff","lightning","other","relight"
"1","2000",64,77,36,51,34,7
"2","2001",85,88,36,154,65,4
"3","2002",93,107,47,162,67,9
"4","2003",59,157,32,164,52,7
"5","2004",84,78,61,82,45,3
"6","2005",65,85,29,209,70,1
"7","2006",101,105,57,316,105,10
"8","2007",47,92,39,365,76,6
"9","2008",75,83,29,156,71,3
"10","2009",111,54,43,264,146,7
"11","2010",43,24,12,116,79,2
"12","2011",20,22,10,19,49,1
"13","2012",65,51,23,97,76,1
"14","2013",91,56,33,220,93,5
"15","2014",174,68,34,344,86,4
"16","2015",353,65,40,240,117,2
"17","2016",402,44,28,136,60,1
"18","2017",571,33,50,122,67,5
"19","2018",888,64,58,212,102,4
"20","2019",526,20,9,369,74,2
